// Total transaction size : 85470
// Total number of selected UTXOs : 314

//filename //status //y //z_s //z_v //epsilon //totalSelectedUTXOs
5ad4a4934c372215dd13d688.txt    Optimal  1138 34         4145       684 7
5ad4a74f4c372215dd13d68a.txt    Optimal  1252 34       404602       138 8
5ad4a9e64c372215dd13d68b.txt    Optimal   398 34        10969      5475 2
5ad4aa604c372215dd13d68c.txt    Optimal   364 34         1369       751 2
5ad4aacf4c372215dd13d68d.txt    Optimal   182  0         1244     11117 1
5ad4ab444c372215dd13d68e.txt    Optimal   512 34        40247     15304 3
5ad4abb84c372215dd13d68f.txt    Optimal   398 34        11313      5647 2
5ad4abfe4c372215dd13d690.txt    Optimal   694 34      4919203      4785 4
5ad4ac0f4c372215dd13d691.txt    Optimal   364 34        33374     13687 2
5ad4ac8e4c372215dd13d692.txt    Optimal   398 34         5775      2883 2
5ad4acaf4c372215dd13d693.txt    Optimal   546 34        14263      5051 3
5ad4ad324c372215dd13d694.txt    Optimal   660 34         4936      1450 4
5ad4ad534c372215dd13d695.txt    Optimal  3616 34   4515558400     13667 1
5ad4ad714c372215dd13d696.txt    Optimal   364 34       312632      9019 2
5ad4ada24c372215dd13d697.txt    Optimal   398 34         2844      1415 2
5ad4ae9d4c372215dd13d698.txt    Optimal   216 34   7407252500      2948 1
5ad4b06e4c372215dd13d69b.txt    Optimal   364 34        25061       940 2
5ad4b1224c372215dd13d69c.txt    Optimal   250 34         8075      4106 1
5ad4b2664c372215dd13d69e.txt    Optimal   512 34        11544      4390 3
5ad4b33c4c372215dd13d69f.txt    Optimal   182  0         3774      4067 1
5ad4b3884c372215dd13d6a0.txt    Optimal   250 34   1484015900      7022 1
5ad4b4b54c372215dd13d6a1.txt    Optimal   512  0         9302     13721 3
5ad4b5034c372215dd13d6a2.txt    Optimal   364 34         1366       756 2
5ad4b5fb4c372215dd13d6a3.txt    Optimal   364 34       459285      4529 2
5ad4b8154c372215dd13d6a7.txt    Optimal   398 34        10958      5490 2
5ad4b8d74c372215dd13d6a8.txt    Optimal  1252 34      3909855       684 8
5ad4b9324c372215dd13d6a9.txt    Optimal   182  0         1043      1286 1
5ad4b9644c372215dd13d6aa.txt    Optimal  3582 34   6739358300     13662 1
5ad4ba104c372215dd13d6ab.txt    Optimal   694 34        21811      6034 4
5ad4baab4c372215dd13d6ac.txt    Optimal   216 34        31230      3384 1
5ad4bb5b4c372215dd13d6ad.txt    Optimal   398 34         3947      1993 2
5ad4bc7b4c372215dd13d6ae.txt    Optimal  3616 34   5456768900     13654 1
5ad4bcc54c372215dd13d6af.txt    Optimal   862 34    982591350     13663 1
